BookingID,Date,TeeTime,Course,Players,GreenFee,CartFee,FandB,TotalRevenue,BookingSource,CustomerType,Cancelled,Weather
TN000001,2025-01-25,07:00:00,Monument,3,294.39,104.67,80.37,1068.21,Online,Public,No,Clear
TN000002,2025-04-12,07:10:00,Monument,3,222.17,102.67,0.0,769.18,Online,Public,No,Clear
TN000003,2025-01-17,11:40:00,Pinnacle,3,279.5,99.91,0.0,938.41,Online,Public,No,Clear
TN000004,2025-03-29,06:50:00,Monument,4,214.61,126.8,0.0,985.24,Online,Member,No,Clear
TN000005,2025-10-21,08:20:00,Pinnacle,2,228.32,69.1,0.0,525.74,Phone,Public,No,Clear
TN000006,2025-06-22,13:00:00,Monument,3,121.97,98.98,112.93,577.82,Online,Public,No,Clear
TN000007,2025-11-13,13:10:00,Pinnacle,3,217.92,99.81,116.68,870.25,Online,Public,No,Clear
TN000008,2025-06-15,10:50:00,Pinnacle,3,133.13,105.26,0.0,504.65,Online,Public,No,Clear
TN000009,2025-06-29,11:40:00,Pinnacle,3,131.83,99.15,80.81,575.45,Online,Public,No,Clear
TN000010,2025-04-26,15:40:00,Monument,3,116.85,81.66,86.02,518.23,Walk-up,Member,No,Clear
TN000011,2025-08-24,12:00:00,Pinnacle,4,153.71,134.43,0.0,0.0,Online,Public,Yes,Windy
TN000012,2025-04-12,10:10:00,Pinnacle,3,162.07,90.3,77.82,654.33,Online,Member,No,Cloudy
TN000013,2025-12-28,13:00:00,Pinnacle,3,245.86,104.78,150.45,992.81,Online,Public,No,Clear
TN000014,2025-06-22,12:40:00,Monument,4,98.24,124.08,254.31,771.35,Online,Member,No,Clear
TN000015,2025-09-21,15:50:00,Monument,4,85.0,116.85,0.0,456.85,Phone,Group,No,Windy
TN000016,2025-03-29,10:10:00,Monument,3,259.52,104.73,168.68,1051.97,Phone,Public,No,Clear
TN000017,2025-12-06,07:10:00,Pinnacle,4,295.88,135.71,0.0,1319.23,Online,Public,No,Clear
TN000018,2025-12-13,07:00:00,Pinnacle,3,310.56,98.15,0.0,1029.83,Online,Public,No,Clear
TN000019,2025-12-10,07:50:00,Monument,4,286.15,136.65,0.0,1281.25,Walk-up,Public,No,Clear
TN000020,2025-05-24,07:40:00,Monument,2,170.27,68.78,47.4,456.72,Online,Public,No,Clear
TN000021,2025-08-09,07:40:00,Monument,2,145.83,68.29,30.55,390.5,Online,Public,No,Clear
TN000022,2025-12-20,07:00:00,Monument,4,245.02,128.62,0.0,1108.7,Online,Member,No,Clear
TN000023,2025-12-18,10:50:00,Monument,4,211.08,120.95,0.0,965.27,Online,Member,No,Clear
TN000024,2025-02-01,08:40:00,Pinnacle,3,292.59,99.24,69.29,1046.3,Online,Public,No,Clear
TN000025,2025-08-16,10:30:00,Monument,3,136.45,105.55,155.75,670.65,Online,Public,No,Clear
TN000026,2025-11-11,07:30:00,Pinnacle,3,240.29,92.7,54.69,868.26,Phone,Member,No,Clear
TN000027,2025-06-21,13:50:00,Pinnacle,3,105.4,100.6,0.0,416.8,Concierge,ResortGuest,No,Clear
TN000028,2025-03-23,08:30:00,Monument,3,244.4,104.59,122.71,960.5,Concierge,ResortGuest,No,Clear
TN000029,2025-08-24,12:30:00,Pinnacle,4,99.19,126.55,244.47,767.78,Online,Member,No,Cloudy
TN000030,2025-08-24,13:40:00,Pinnacle,3,98.53,95.29,44.12,435.0,Phone,Member,No,Windy
TN000031,2025-07-20,09:10:00,Pinnacle,3,144.72,103.3,135.55,673.01,Online,Public,No,Cloudy
TN000032,2025-12-06,08:50:00,Pinnacle,2,319.2,68.78,40.62,747.8,Online,Public,No,Clear
TN000033,2025-08-03,07:50:00,Pinnacle,3,173.97,106.03,0.0,627.94,Online,Public,No,Clear
TN000034,2025-06-09,08:50:00,Monument,4,139.12,129.43,84.77,770.68,Online,Group,No,Clear
TN000035,2025-10-11,09:40:00,Pinnacle,4,164.72,123.14,0.0,0.0,Online,Member,Yes,Clear
TN000036,2025-05-31,08:10:00,Pinnacle,3,125.32,92.88,189.95,658.79,Phone,Member,No,Clear
TN000037,2025-07-04,12:50:00,Monument,3,110.66,100.97,0.0,432.95,Walk-up,Public,No,Windy
TN000038,2025-01-15,13:30:00,Pinnacle,4,240.17,137.57,80.82,1179.07,Phone,Public,No,Cloudy
TN000039,2025-05-17,07:50:00,Monument,3,158.61,104.54,0.0,580.37,Online,Public,No,Clear
TN000040,2025-08-20,09:50:00,Pinnacle,3,140.7,104.52,55.09,581.71,Online,Public,No,Clear
TN000041,2025-05-03,06:40:00,Pinnacle,3,155.16,105.24,132.33,703.05,Online,Public,No,Clear
TN000042,2025-06-09,06:40:00,Monument,2,114.86,64.71,0.0,294.43,Walk-up,Member,No,Cloudy
TN000043,2025-09-28,07:00:00,Monument,4,138.65,120.97,0.0,675.57,Sales/Events,Group,No,Clear
TN000044,2025-01-18,10:40:00,Pinnacle,2,252.34,66.91,0.0,571.59,Online,Public,No,Clear
TN000045,2025-02-27,08:00:00,Pinnacle,2,288.38,67.52,0.0,644.28,Phone,Public,No,Clear
TN000046,2025-12-08,09:30:00,Monument,3,205.51,93.24,0.0,0.0,Sales/Events,Group,Yes,Clear
TN000047,2025-01-02,11:50:00,Monument,2,274.41,65.87,0.0,614.69,Phone,Public,No,Clear
TN000048,2025-02-27,12:10:00,Pinnacle,3,216.6,98.34,114.22,862.36,Online,Public,No,Clear
TN000049,2025-06-10,15:00:00,Monument,3,96.58,91.38,48.8,429.92,Phone,ResortGuest,No,Clear
TN000050,2025-12-07,08:20:00,Pinnacle,2,231.75,62.77,65.48,591.75,Online,Member,No,Clear
TN000051,2025-10-11,12:10:00,Monument,4,131.65,123.47,0.0,650.07,Online,Member,No,Clear
TN000052,2025-03-23,06:50:00,Monument,3,292.49,99.97,131.13,1108.57,Walk-up,Public,No,Clear
TN000053,2025-03-19,10:20:00,Monument,3,246.7,98.45,115.3,953.85,Phone,Public,No,Clear
TN000054,2025-08-07,06:50:00,Monument,4,122.05,124.73,0.0,612.93,Online,Group,No,Clear
TN000055,2025-05-01,09:40:00,Pinnacle,3,136.3,99.84,153.43,662.17,Online,Public,No,Clear
TN000056,2025-03-04,07:00:00,Pinnacle,4,330.92,140.51,100.64,1564.83,Online,Public,No,Rain
TN000057,2025-04-08,06:50:00,Monument,3,238.5,102.98,85.25,903.73,Online,Public,No,Cloudy
TN000058,2025-11-23,10:10:00,Pinnacle,3,251.37,98.18,109.49,961.78,Online,Public,No,Cloudy
TN000059,2025-08-30,07:20:00,Monument,4,138.4,124.26,223.89,901.75,Phone,Group,No,Clear
TN000060,2025-01-04,07:20:00,Monument,3,281.3,98.04,0.0,941.94,Walk-up,Public,No,Cloudy
TN000061,2025-09-14,11:00:00,Pinnacle,4,149.99,139.18,0.0,739.14,Online,Public,No,Clear
TN000062,2025-01-12,06:40:00,Pinnacle,3,333.57,103.15,0.0,1103.86,Phone,Public,No,Clear
TN000063,2025-02-20,07:30:00,Monument,4,282.81,140.18,0.0,1271.42,Online,Public,No,Windy
TN000064,2025-09-27,10:40:00,Pinnacle,3,143.96,99.38,180.42,711.68,Online,Public,No,Clear
TN000065,2025-08-17,10:00:00,Pinnacle,3,147.66,98.25,162.67,703.9,Online,Public,No,Clear
TN000066,2025-12-10,09:50:00,Monument,3,212.71,105.15,174.3,917.58,Phone,ResortGuest,No,Clear
TN000067,2025-12-18,08:20:00,Pinnacle,2,337.41,67.89,0.0,742.71,Online,Public,No,Clear
TN000068,2025-03-30,07:20:00,Pinnacle,3,300.71,104.19,191.14,1197.46,Online,Public,No,Clear
TN000069,2025-08-20,12:20:00,Monument,3,85.65,92.57,81.03,430.55,Phone,Member,No,Clear
TN000070,2025-10-12,15:40:00,Pinnacle,4,118.72,113.74,108.81,697.43,Phone,Member,No,Cloudy
TN000071,2025-01-04,10:40:00,Monument,3,256.52,99.02,0.0,868.58,Online,Public,No,Clear
TN000072,2025-05-05,07:10:00,Pinnacle,4,170.57,136.68,0.0,0.0,Online,Public,Yes,Cloudy
TN000073,2025-06-29,11:50:00,Pinnacle,3,103.92,95.93,140.78,548.47,Online,Member,No,Clear
TN000074,2025-12-13,08:40:00,Pinnacle,3,333.48,104.31,0.0,1104.75,Online,Public,No,Clear
TN000075,2025-11-22,08:50:00,Monument,4,320.27,133.42,0.0,0.0,Online,Public,Yes,Rain
TN000076,2025-12-22,11:50:00,Pinnacle,3,222.08,91.36,0.0,757.6,Phone,Group,No,Clear
TN000077,2025-04-14,08:30:00,Monument,3,191.49,96.39,0.0,670.86,Sales/Events,Group,No,Clear
TN000078,2025-03-01,07:30:00,Monument,1,245.32,40.0,0.0,0.0,Concierge,ResortGuest,Yes,Clear
TN000079,2025-02-06,07:10:00,Pinnacle,3,257.18,96.24,0.0,867.78,Phone,Member,No,Clear
TN000080,2025-02-03,11:10:00,Monument,3,271.07,103.09,0.0,916.3,Online,Public,No,Clear
TN000081,2025-11-20,07:30:00,Monument,4,318.65,138.93,0.0,1413.53,Online,Public,No,Clear
TN000082,2025-09-01,08:40:00,Monument,4,160.35,138.33,0.0,0.0,Online,Public,Yes,Clear
TN000083,2025-07-13,07:30:00,Monument,3,171.0,102.76,0.0,0.0,Online,Public,Yes,Windy
TN000084,2025-04-06,14:40:00,Pinnacle,2,143.39,62.6,0.0,349.38,Concierge,ResortGuest,No,Clear
TN000085,2025-11-12,11:20:00,Pinnacle,2,287.88,66.55,0.0,642.31,Online,Public,No,Clear
TN000086,2025-09-30,09:20:00,Monument,3,142.58,99.3,157.29,684.33,Walk-up,Public,No,Clear
TN000087,2025-03-02,07:10:00,Pinnacle,4,264.36,140.95,0.0,1198.39,Phone,ResortGuest,No,Windy
TN000088,2025-06-22,07:10:00,Pinnacle,4,155.56,132.81,65.42,820.47,Online,Public,No,Clear
TN000089,2025-08-12,11:30:00,Monument,4,108.44,126.59,0.0,560.35,Online,Member,No,Clear
TN000090,2025-12-08,10:20:00,Pinnacle,2,252.27,67.56,0.0,572.1,Online,Public,No,Clear
TN000091,2025-07-12,09:10:00,Pinnacle,3,124.25,101.92,0.0,474.67,Online,ResortGuest,No,Clear
TN000092,2025-12-20,14:40:00,Pinnacle,2,176.68,61.88,0.0,415.24,Phone,ResortGuest,No,Clear
TN000093,2025-11-02,07:00:00,Pinnacle,4,294.67,137.4,0.0,1316.08,Concierge,ResortGuest,No,Clear
TN000094,2025-06-29,15:30:00,Pinnacle,3,93.68,81.54,0.0,0.0,Sales/Events,Group,Yes,Rain
TN000095,2025-12-24,09:50:00,Monument,3,188.32,96.35,150.83,812.14,Walk-up,Member,No,Clear
TN000096,2025-07-12,11:40:00,Monument,4,136.56,135.22,0.0,681.46,Online,Public,No,Cloudy
TN000097,2025-05-17,12:10:00,Monument,2,119.8,66.42,59.91,365.93,Walk-up,Public,No,Clear
TN000098,2025-07-20,07:10:00,Monument,4,171.27,131.54,0.0,816.62,Online,Public,No,Clear
TN000099,2025-10-08,07:30:00,Pinnacle,3,231.57,101.94,97.31,893.96,Walk-up,Public,No,Clear
TN000100,2025-02-12,12:10:00,Monument,4,170.18,124.38,0.0,805.1,Online,Member,No,Clear
TN000101,2025-11-03,06:40:00,Pinnacle,1,288.62,40.0,0.0,328.62,Walk-up,Public,No,Windy
TN000102,2025-12-14,07:30:00,Monument,3,290.92,101.95,205.55,1180.26,Online,Public,No,Clear
TN000103,2025-06-26,13:00:00,Monument,4,117.79,134.98,0.0,606.14,Walk-up,Public,No,Clear
TN000104,2025-08-02,09:20:00,Pinnacle,3,130.78,102.79,0.0,495.13,Phone,ResortGuest,No,Rain
TN000105,2025-11-28,07:20:00,Pinnacle,3,303.07,103.71,0.0,0.0,Walk-up,Public,Yes,Clear
TN000106,2025-07-13,09:20:00,Pinnacle,3,115.9,93.12,144.71,585.53,Phone,Member,No,Clear
TN000107,2025-12-04,07:00:00,Monument,4,251.52,128.71,83.1,1217.89,Phone,Member,No,Clear
TN000108,2025-11-23,09:20:00,Monument,3,218.84,102.47,157.25,916.24,Concierge,ResortGuest,No,Clear
TN000109,2025-01-05,13:50:00,Pinnacle,4,213.43,134.56,0.0,988.28,Phone,Public,No,Clear
TN000110,2025-12-27,07:20:00,Pinnacle,2,327.99,68.36,42.23,766.57,Phone,Public,No,Clear
TN000111,2025-12-27,14:00:00,Pinnacle,4,209.04,137.11,0.0,973.27,Concierge,ResortGuest,No,Cloudy
TN000112,2025-05-03,09:20:00,Monument,3,115.39,96.07,0.0,442.24,Walk-up,Member,No,Clear
TN000113,2025-01-22,08:30:00,Monument,4,232.47,122.66,0.0,1052.54,Sales/Events,Group,No,Cloudy
TN000114,2025-01-23,06:50:00,Monument,2,231.65,63.01,43.2,569.51,Walk-up,Member,No,Clear
TN000115,2025-12-28,07:10:00,Monument,3,288.96,98.17,112.1,1077.15,Phone,Public,No,Windy
TN000116,2025-04-15,10:10:00,Monument,3,213.63,105.78,46.12,792.79,Walk-up,Public,No,Cloudy
TN000117,2025-09-07,11:30:00,Pinnacle,4,104.52,123.31,89.28,630.67,Walk-up,Member,No,Windy
TN000118,2025-11-25,07:40:00,Pinnacle,2,334.18,70.2,0.0,738.56,Online,Public,No,Clear
TN000119,2025-12-12,11:40:00,Monument,3,209.61,90.88,71.2,790.91,Walk-up,Member,No,Clear
TN000120,2025-03-08,12:10:00,Monument,4,159.06,126.31,218.69,981.24,Online,Member,No,Windy
TN000121,2025-01-11,11:30:00,Pinnacle,2,256.0,67.74,0.0,579.74,Online,Public,No,Clear
TN000122,2025-07-05,06:30:00,Monument,4,153.76,140.39,205.43,960.86,Online,Public,No,Windy
